window_start,aligned_union_bin_count,spot_observed_bin_count,perp_observed_bin_count,spot_forward_fill_share,perp_forward_fill_share,both_observed_share,spot_only_observed_share,perp_only_observed_share,spot_retained_observation_count,spot_raw_trade_count,spot_price_change_bin_count,spot_median_interupdate_ms,perp_retained_observation_count,perp_raw_trade_count,perp_price_change_bin_count,perp_median_interupdate_ms,latency,diagnostic_basis,contract_type,date,year,perp_to_spot_observed_bin_ratio,log_perp_to_spot_observed_bin_ratio,perp_to_spot_price_change_ratio,log_perp_to_spot_price_change_ratio,perp_to_spot_retained_observation_ratio,log_perp_to_spot_retained_observation_ratio,spot_minus_perp_forward_fill_share,perp_to_spot_raw_trade_ratio,sample_start,sample_end
2021-01-01 00:00:00,11709,10112,2921,0.13639081048765905,0.7505337774361602,0.11307541207618071,0.7505337774361602,0.13639081048765905,14377,,6378,200.0,5398,,1744,500.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.2889350341145061,-1.2415534115915254,0.2735538485656059,-1.2962567896054278,0.3755042425928502,-0.9794855093255298,-0.6141429669485012,,2021-01-01,2021-01-02
2021-01-01 01:00:00,15847,14468,3704,0.0870196251656465,0.7662649081845144,0.1467154666498391,0.7662649081845144,0.0870196251656465,24490,,9377,100.0,7310,,2566,400.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.2560646900269542,-1.3623251710068942,0.27372574109618253,-1.2956286187783912,0.2985178228737087,-1.208925639812312,-0.6792452830188679,,2021-01-01,2021-01-02
2021-01-01 02:00:00,10595,9309,2504,0.1213780084945729,0.7636621047663993,0.11495988673902785,0.7636621047663993,0.1213780084945729,12888,,6040,200.0,4589,,1606,600.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.2690655209452202,-1.3128003567521476,0.2660155603376924,-1.3242004744012288,0.35611761967569244,-1.0324942103501888,-0.6422840962718264,,2021-01-01,2021-01-02
2021-01-01 03:00:00,7469,6414,1764,0.14125050207524434,0.7638238050609185,0.09492569286383719,0.7638238050609185,0.14125050207524434,8350,,4244,300.0,3081,,1013,1250.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.2751363990646921,-1.2904883076823397,0.23886925795053005,-1.4318389145943191,0.36905759789246795,-0.9968025552731684,-0.6225733029856741,,2021-01-01,2021-01-02
2021-01-01 04:00:00,8042,6854,1941,0.14772444665506093,0.7586421288236757,0.09363342452126337,0.7586421288236757,0.14772444665506093,9041,,4774,300.0,3409,,1172,1000.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.2832968636032093,-1.2612599431451446,0.2456544502617801,-1.4038294042613553,0.3771289537712895,-0.9751680975769881,-0.6109176821686148,,2021-01-01,2021-01-02
2021-01-01 05:00:00,7175,6180,1541,0.13867595818815331,0.7852264808362369,0.07609756097560975,0.7852264808362369,0.13867595818815331,7772,,4138,300.0,2353,,883,1200.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.24947419511405922,-1.3883997955359986,0.21357815897559798,-1.543752429111089,0.3028431750932716,-1.1945401814099976,-0.6465505226480837,,2021-01-01,2021-01-02
2021-01-01 06:00:00,7321,6410,1447,0.12443655238355415,0.8023494058188771,0.07321404179756864,0.8023494058188771,0.12443655238355415,7995,,4253,300.0,2331,,880,1400.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.22586180003119638,-1.4878319710415957,0.2070992007522332,-1.574557369824003,0.29164582291145574,-1.2322151481499077,-0.677912853435323,,2021-01-01,2021-01-02
2021-01-01 07:00:00,11378,8823,4176,0.22455616101248022,0.632975918439093,0.1424679205484268,0.632975918439093,0.22455616101248022,12539,,5342,200.0,7746,,1602,300.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.4733680870353581,-0.747881996436163,0.3000187160771102,-1.2039104193482184,0.6177830940988835,-0.4816178635550092,-0.40841975742661274,,2021-01-01,2021-01-02
2021-01-01 08:00:00,15124,12977,5044,0.14195979899497488,0.666490346469188,0.1915498545358371,0.666490346469188,0.14195979899497488,21670,,8327,100.0,10692,,2436,200.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.38873478193866545,-0.9448579623934044,0.2926272814601345,-1.2288555566695984,0.493424392044668,-0.7063856394556741,-0.5245305474742131,,2021-01-01,2021-01-02
2021-01-01 09:00:00,10436,9333,1895,0.10569183595247221,0.818417018014565,0.07589114603296282,0.818417018014565,0.10569183595247221,15538,,4631,200.0,2667,,906,1200.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.20312834797514465,-1.5939172436947937,0.19581174438687393,-1.6306015691376945,0.17169702040028315,-1.7620238647512199,-0.7127251820620928,,2021-01-01,2021-01-02
2021-01-01 10:00:00,8873,7793,1726,0.12171757015665502,0.8054772906570494,0.0728051391862955,0.8054772906570494,0.12171757015665502,10025,,4679,300.0,2578,,864,1200.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.22158070310495254,-1.5069684077519758,0.18482905982905984,-1.688323881979813,0.25723119888290447,-1.3577799919421039,-0.6837597205003945,,2021-01-01,2021-01-02
2021-01-01 11:00:00,9010,8064,1670,0.10499445061043285,0.8146503884572697,0.08035516093229744,0.8146503884572697,0.10499445061043285,10804,,4937,200.0,2999,,1024,1200.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.20719156850588966,-1.5741114619639154,0.2075739165654111,-1.5722677783326162,0.2776492364645997,-1.2813967012907397,-0.7096559378468368,,2021-01-01,2021-01-02
2021-01-01 12:00:00,12691,11402,2979,0.10156804034355055,0.7652667244503979,0.13316523520605153,0.7652667244503979,0.10156804034355055,17469,,7763,200.0,6598,,2132,500.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.26133473647285804,-1.3419531781579082,0.2747295208655332,-1.2919682258175504,0.3777332570120206,-0.9735670017446807,-0.6636986841068473,,2021-01-01,2021-01-02
2021-01-01 13:00:00,9913,8840,1859,0.10824170281448603,0.8124684757389287,0.07928982144658529,0.8124684757389287,0.10824170281448603,11761,,5588,200.0,3189,,1143,1000.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.21038344078724125,-1.5588235046985575,0.20468777956700662,-1.586269487329955,0.27121237884713484,-1.3048530792410111,-0.7042267729244427,,2021-01-01,2021-01-02
2021-01-01 14:00:00,10003,8920,1825,0.10826751974407678,0.817554733579926,0.0741777466759972,0.817554733579926,0.10826751974407678,11751,,5526,200.0,3017,,1169,900.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.20468557336621454,-1.5862802657588697,0.21168807671431156,-1.5526414240414612,0.2568073519400953,-1.359429078525919,-0.7092872138358493,,2021-01-01,2021-01-02
2021-01-01 15:00:00,11391,10312,2102,0.09472390483715214,0.8154683522078834,0.08980774295496445,0.8154683522078834,0.09472390483715214,14049,,6793,200.0,3434,,1323,650.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.20391738582371763,-1.5900403386133692,0.19487783338239623,-1.6353824122235758,0.24448398576512456,-1.408605470105442,-0.7207444473707313,,2021-01-01,2021-01-02
2021-01-01 16:00:00,8885,7974,1619,0.10253235790658413,0.8177827799662353,0.07968486212718064,0.8177827799662353,0.10253235790658413,10117,,5151,200.0,2402,,1068,1300.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.2031347962382445,-1.5938854994266156,0.20749223602484473,-1.5726613567591443,0.23749752915595967,-1.4375980591154125,-0.7152504220596512,,2021-01-01,2021-01-02
2021-01-01 17:00:00,11692,10631,2212,0.09074580910023948,0.8108108108108109,0.0984433800889497,0.8108108108108109,0.09074580910023948,14830,,7219,200.0,4105,,1400,600.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.20814522197140709,-1.5695192603420316,0.1940443213296399,-1.639668685549865,0.27685253860157777,-1.2842702661630836,-0.7200650017105714,,2021-01-01,2021-01-02
2021-01-01 18:00:00,15004,13622,3780,0.0921087709944015,0.7480671820847774,0.1598240469208211,0.7480671820847774,0.0921087709944015,22032,,9753,100.0,7786,,2719,300.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.2775453277545328,-1.2817710158751279,0.2788599548903014,-1.277045576979955,0.3534244088412835,-1.0400856528872027,-0.6559584110903759,,2021-01-01,2021-01-02
2021-01-01 19:00:00,10020,9003,1878,0.10149700598802396,0.8125748502994012,0.08592814371257484,0.8125748502994012,0.10149700598802396,11711,,6100,200.0,3003,,1380,1100.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.20868502887605508,-1.5669292026131576,0.22635633502704475,-1.4856448177425603,0.25648907103825136,-1.3606692233170674,-0.7110778443113773,,2021-01-01,2021-01-02
2021-01-01 20:00:00,8860,7897,1760,0.10869074492099323,0.801354401805869,0.0899548532731377,0.801354401805869,0.10869074492099323,10394,,5045,200.0,2844,,1196,1000.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.2229678399594834,-1.5007277333503886,0.23721759809750298,-1.43877742364303,0.2736892736892737,-1.295761853731682,-0.6926636568848759,,2021-01-01,2021-01-02
2021-01-01 21:00:00,6837,5931,1515,0.13251426064063185,0.7784115840280825,0.08907415533128565,0.7784115840280825,0.13251426064063185,7352,,4018,300.0,2414,,935,1500.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.25556304787592715,-1.364286137055506,0.23289375466533963,-1.457172917971609,0.32843737250102,-1.1134091061095492,-0.6458973233874507,,2021-01-01,2021-01-02
2021-01-01 22:00:00,7268,6235,1577,0.14212988442487617,0.7830214639515686,0.0748486516235553,0.7830214639515686,0.14212988442487617,7699,,3777,200.0,2093,,727,1500.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.25304682488774854,-1.3741807287718477,0.1926945473795659,-1.6466489998647689,0.27194805194805194,-1.302144216411293,-0.6408915795266924,,2021-01-01,2021-01-02
2021-01-01 23:00:00,5940,5063,1294,0.14764309764309763,0.7821548821548822,0.0702020202020202,0.7821548821548822,0.14764309764309763,6316,,3366,300.0,1927,,750,1900.0,100ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.2557266982622433,-1.3636459896903739,0.22304722304722305,-1.5003717673969397,0.3052081684343834,-1.1867612157282095,-0.6345117845117845,,2021-01-01,2021-01-02
2021-01-01 00:00:00,17335,13471,4506,0.2229016440726853,0.7400634554369773,0.03703490049033747,0.7400634554369773,0.2229016440726853,14377,,7982,110.0,5398,,2414,110.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.3345457244655582,-1.0949817137914597,0.30251785043216833,-1.1956149935591258,0.3755042425928502,-0.9794855093255298,-0.517161811364292,,2021-01-01,2021-01-02
2021-01-01 01:00:00,27170,22355,6003,0.17721751932278249,0.7790577843209422,0.0437246963562753,0.7790577843209422,0.17721751932278249,24490,,13125,80.0,7310,,3667,80.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.26856324923957775,-1.3146688276362362,0.2794453755904312,-1.2749484416573127,0.2985178228737087,-1.208925639812312,-0.6018402649981597,,2021-01-01,2021-01-02
2021-01-01 02:00:00,15354,12080,3895,0.2132343363292953,0.7463201771525335,0.04044548651817116,0.7463201771525335,0.2132343363292953,12888,,7457,120.0,4589,,2298,110.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.32248986011091796,-1.1316835847571383,0.308259587020649,-1.1768130359755846,0.35611761967569244,-1.0324942103501888,-0.5330858408232382,,2021-01-01,2021-01-02
2021-01-01 03:00:00,10160,7909,2573,0.22155511811023623,0.746751968503937,0.03169291338582677,0.746751968503937,0.22155511811023623,8350,,4998,190.0,3081,,1327,220.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.32541087231352717,-1.1226666726056276,0.2656531306261252,-1.3255638413771913,0.36905759789246795,-0.9968025552731684,-0.5251968503937008,,2021-01-01,2021-01-02
2021-01-01 04:00:00,11007,8527,2839,0.22531116562187697,0.7420732261288271,0.0326156082492959,0.7420732261288271,0.22531116562187697,9041,,5674,170.0,3409,,1591,220.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.3330206378986867,-1.0995508152503741,0.2805286343612335,-1.271079475945275,0.3771289537712895,-0.9751680975769881,-0.5167620605069501,,2021-01-01,2021-01-02
2021-01-01 05:00:00,9231,7385,2060,0.19997833387498645,0.7768389123605243,0.023182753764489222,0.7768389123605243,0.19997833387498645,7772,,4741,210.0,2353,,1146,500.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.27904142973192525,-1.2763950145220495,0.2418810628426824,-1.4193091494959802,0.3028431750932716,-1.1945401814099976,-0.5768605784855378,,2021-01-01,2021-01-02
2021-01-01 06:00:00,9393,7664,1978,0.18407324603428085,0.7894176514425636,0.026509102523155543,0.7894176514425636,0.18407324603428085,7995,,4942,200.0,2331,,1141,460.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.25818656229615133,-1.3540728457033488,0.23103378515071818,-1.4651913230910039,0.29164582291145574,-1.2322151481499077,-0.6053444054082827,,2021-01-01,2021-01-02
2021-01-01 07:00:00,17621,11836,6493,0.3283014584870325,0.6315192100334828,0.04017933147948471,0.6315192100334828,0.3283014584870325,12539,,6679,110.0,7746,,2342,90.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.5486187378558757,-0.6003515452911022,0.350748502994012,-1.0476858280228958,0.6177830940988835,-0.4816178635550092,-0.30321775154645025,,2021-01-01,2021-01-02
2021-01-01 08:00:00,26682,19470,8612,0.2702945806161457,0.6772355895360168,0.05246982984783749,0.6772355895360168,0.2702945806161457,21670,,11570,80.0,10692,,3614,60.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.442350161779056,-0.8156534893264475,0.31241897848068445,-1.1634101122834726,0.493424392044668,-0.7063856394556741,-0.4069410089198711,,2021-01-01,2021-01-02
2021-01-01 09:00:00,16465,14320,2420,0.13027634375948982,0.8530215608867294,0.016702095353780748,0.8530215608867294,0.13027634375948982,15538,,5693,80.0,2667,,1115,600.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.16905244047203408,-1.777546313540644,0.19599578503688092,-1.6296621248967267,0.17169702040028315,-1.7620238647512199,-0.7227452171272396,,2021-01-01,2021-01-02
2021-01-01 10:00:00,11585,9573,2263,0.17367285282693137,0.804661199827363,0.021665947345705653,0.804661199827363,0.17367285282693137,10025,,5530,170.0,2578,,1063,470.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.2364737831627324,-1.4419179306293808,0.1923702766226722,-1.6483332400930883,0.25723119888290447,-1.3577799919421039,-0.6309883470004316,,2021-01-01,2021-01-02
2021-01-01 11:00:00,12278,10150,2501,0.1733181299885975,0.7963023293696042,0.03037954064179834,0.7963023293696042,0.1733181299885975,10804,,5961,150.0,2999,,1409,210.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.24647817948970543,-1.4004818107575747,0.2364978195236498,-1.4418162908658028,0.2776492364645997,-1.2813967012907397,-0.6229841993810067,,2021-01-01,2021-01-02
2021-01-01 12:00:00,20178,16021,5185,0.20601645356328674,0.7430369709584697,0.05094657547824363,0.7430369709584697,0.20601645356328674,17469,,10228,100.0,6598,,3280,60.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.3236799400823867,-1.1280000906764525,0.32075471698113206,-1.1370785694959058,0.3777332570120206,-0.9735670017446807,-0.537020517395183,,2021-01-01,2021-01-02
2021-01-01 13:00:00,13549,11220,2706,0.17189460476787954,0.8002804635028415,0.027824931729278912,0.8002804635028415,0.17189460476787954,11761,,6743,140.0,3189,,1517,240.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.24124409589163176,-1.4219460120505651,0.22508896797153025,-1.491259541726116,0.27121237884713484,-1.3048530792410111,-0.628385858734962,,2021-01-01,2021-01-02
2021-01-01 14:00:00,13462,11196,2616,0.16832565740603178,0.8056752339919774,0.02599910860199079,0.8056752339919774,0.16832565740603178,11751,,6624,150.0,3017,,1557,250.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.2337233187460927,-1.4536172617300511,0.2351698113207547,-1.4474474244237294,0.2568073519400953,-1.359429078525919,-0.6373495765859456,,2021-01-01,2021-01-02
2021-01-01 15:00:00,15961,13341,3009,0.1641501159075246,0.8114779775703277,0.024371906522147734,0.8114779775703277,0.1641501159075246,14049,,8308,120.0,3434,,1785,190.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.22560335781741866,-1.4889768755265393,0.21494764712961847,-1.5373607822285371,0.24448398576512456,-1.408605470105442,-0.6473278616628031,,2021-01-01,2021-01-02
2021-01-01 16:00:00,11618,9697,2163,0.16534687553795835,0.813823377517645,0.020829746944396627,0.813823377517645,0.16534687553795835,10117,,6019,170.0,2402,,1389,470.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.22313879150340277,-1.4999613176989255,0.23089700996677742,-1.4657835121781293,0.23749752915595967,-1.4375980591154125,-0.6484765019796866,,2021-01-01,2021-01-02
2021-01-01 17:00:00,16780,13959,3429,0.16811680572109655,0.7956495828367104,0.03623361144219309,0.7956495828367104,0.16811680572109655,14830,,9026,110.0,4105,,1987,110.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.24570200573065903,-1.4036358361563779,0.2202282042760607,-1.5130909780816355,0.27685253860157777,-1.2842702661630836,-0.6275327771156138,,2021-01-01,2021-01-02
2021-01-01 18:00:00,25224,20167,6341,0.2004836663495084,0.7486124326038693,0.05090390104662226,0.7486124326038693,0.2004836663495084,22032,,13603,90.0,7786,,4020,60.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.31445854819516067,-1.1569030137694631,0.2955748309320788,-1.218833239229812,0.3534244088412835,-1.0400856528872027,-0.5481287662543609,,2021-01-01,2021-01-02
2021-01-01 19:00:00,13394,11105,2668,0.17089741675377035,0.8008063311930715,0.02829625205315813,0.8008063311930715,0.17089741675377035,11711,,7336,140.0,3003,,1842,315.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.24032054745182785,-1.4257816323970283,0.2511925855254191,-1.381535361044171,0.25648907103825136,-1.3606692233170674,-0.6299089144393012,,2021-01-01,2021-01-02
2021-01-01 20:00:00,11982,9877,2468,0.17568018694708729,0.7940243698881656,0.03029544316474712,0.7940243698881656,0.17568018694708729,10394,,6094,150.0,2844,,1593,320.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.24994938246608625,-1.3864968517553906,0.26152584085315833,-1.3412221825652115,0.2736892736892737,-1.295761853731682,-0.6183441829410783,,2021-01-01,2021-01-02
2021-01-01 21:00:00,8841,7036,2093,0.2041624250650379,0.7632620744259699,0.032575500508992196,0.7632620744259699,0.2041624250650379,7352,,4631,210.0,2414,,1234,500.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.297569987210459,-1.2121058305360668,0.26662348877374786,-1.3219177701907536,0.32843737250102,-1.1134091061095492,-0.559099649360932,,2021-01-01,2021-01-02
2021-01-01 22:00:00,9152,7438,1878,0.18728146853146854,0.794798951048951,0.01791958041958042,0.794798951048951,0.18728146853146854,7699,,4400,160.0,2093,,861,1030.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.25258771340233904,-1.3759967107778759,0.1958645762326744,-1.6303317961473982,0.27194805194805194,-1.302144216411293,-0.6075174825174825,,2021-01-01,2021-01-02
2021-01-01 23:00:00,7606,6064,1726,0.20273468314488563,0.7730738890349724,0.024191427820141994,0.7730738890349724,0.20273468314488563,6316,,3874,210.0,1927,,967,910.0,10ms,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.28474855729596044,-1.256148743231472,0.2498064516129032,-1.3870688545108705,0.3052081684343834,-1.1867612157282095,-0.5703392058900868,,2021-01-01,2021-01-02
2021-01-01 00:00:00,3285,3145,1625,0.0426179604261796,0.5053272450532724,0.4520547945205479,0.5053272450532724,0.0426179604261796,14377,,2555,1000.0,5398,,1125,1000.0,1s,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.5168467895740623,-0.6600087935104673,0.4405320813771518,-0.8197720067977898,0.3755042425928502,-0.9794855093255298,-0.4627092846270928,,2021-01-01,2021-01-02
2021-01-01 01:00:00,3479,3430,1865,0.014084507042253521,0.4639264156366772,0.5219890773210693,0.4639264156366772,0.014084507042253521,24490,,2920,1000.0,7310,,1449,1000.0,1s,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.5438647624599242,-0.6090546614511606,0.4964053406367682,-0.7003624669731209,0.2985178228737087,-1.208925639812312,-0.4498419085944237,,2021-01-01,2021-01-02
2021-01-01 02:00:00,3233,3095,1449,0.04268481286730591,0.551809464893288,0.4055057222394061,0.551809464893288,0.04268481286730591,12888,,2454,1000.0,4589,,963,2000.0,1s,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.46834625322997414,-0.7585473992949977,0.39266802443991855,-0.9347907456180753,0.35611761967569244,-1.0324942103501888,-0.509124652025982,,2021-01-01,2021-01-02
2021-01-01 03:00:00,2937,2735,1186,0.06877766428328226,0.5961865849506299,0.3350357507660878,0.5961865849506299,0.06877766428328226,8350,,2101,1000.0,3081,,687,2000.0,1s,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.4338450292397661,-0.835067884132773,0.3273073263558516,-1.1168557135035528,0.36905759789246795,-0.9968025552731684,-0.5274089206673477,,2021-01-01,2021-01-02
2021-01-01 04:00:00,2996,2784,1294,0.07076101468624833,0.568090787716956,0.36114819759679573,0.568090787716956,0.07076101468624833,9041,,2296,1000.0,3409,,799,2000.0,1s,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.4649910233393178,-0.7657371782277462,0.348280365694384,-1.054747475021171,0.3771289537712895,-0.9751680975769881,-0.49732977303070763,,2021-01-01,2021-01-02
2021-01-01 05:00:00,2882,2680,1094,0.07009021512838307,0.6204024982650936,0.30950728660652327,0.6204024982650936,0.07009021512838307,7772,,2096,1000.0,2353,,628,2000.0,1s,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.4084296904140246,-0.8954354959853581,0.2999523128278493,-1.2041317742014794,0.3028431750932716,-1.1945401814099976,-0.5503122831367105,,2021-01-01,2021-01-02
2021-01-01 06:00:00,2890,2707,1031,0.06332179930795848,0.6432525951557093,0.2934256055363322,0.6432525951557093,0.06332179930795848,7995,,2107,1000.0,2331,,629,2000.0,1s,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.3810930576070901,-0.9647116879906575,0.29886148007590135,-1.2077750902756745,0.29164582291145574,-1.2322151481499077,-0.5799307958477509,,2021-01-01,2021-01-02
2021-01-01 07:00:00,3254,3015,1877,0.07344806392132759,0.4231714812538414,0.503380454824831,0.4231714812538414,0.07344806392132759,12539,,2336,1000.0,7746,,914,1000.0,1s,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.6226790450928382,-0.47372406935963846,0.39152759948652116,-0.9376992692633367,0.6177830940988835,-0.4816178635550092,-0.34972341733251383,,2021-01-01,2021-01-02
2021-01-01 08:00:00,3411,3319,2041,0.026971562591615362,0.4016417472881853,0.5713866901201994,0.4016417472881853,0.026971562591615362,21670,,2713,1000.0,10692,,1217,1000.0,1s,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.6150602409638555,-0.48603506318592327,0.4487840825350037,-0.8012133921249721,0.493424392044668,-0.7063856394556741,-0.37467018469656993,,2021-01-01,2021-01-02
2021-01-01 09:00:00,3203,3038,1330,0.05151420543240712,0.5847642834842335,0.3637215110833594,0.5847642834842335,0.05151420543240712,15538,,2133,1000.0,2667,,676,2000.0,1s,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.4379730174399474,-0.8255979745216814,0.31724461105904406,-1.1480821589494237,0.17169702040028315,-1.7620238647512199,-0.5332500780518263,,2021-01-01,2021-01-02
2021-01-01 10:00:00,3201,3056,1181,0.045298344267416434,0.6310527960012496,0.32364885973133395,0.6310527960012496,0.045298344267416434,10025,,2279,1000.0,2578,,622,2000.0,1s,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.38665358194308147,-0.950226123924791,0.27324561403508774,-1.2973842031610332,0.25723119888290447,-1.3577799919421039,-0.5857544517338332,,2021-01-01,2021-01-02
2021-01-01 11:00:00,3165,3032,1116,0.04202211690363349,0.64739336492891,0.3105845181674566,0.64739336492891,0.04202211690363349,10804,,2229,1000.0,2999,,675,2000.0,1s,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.3682822288163534,-0.9989057086193804,0.3031390134529148,-1.1935637884112005,0.2776492364645997,-1.2813967012907397,-0.6053712480252765,,2021-01-01,2021-01-02
2021-01-01 12:00:00,3393,3304,1627,0.026230474506336577,0.520483348069555,0.4532861774241085,0.520483348069555,0.026230474506336577,17469,,2711,1000.0,6598,,1242,1000.0,1s,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.49258698940998485,-0.7080842057233011,0.4583333333333333,-0.7801585575495751,0.3777332570120206,-0.9735670017446807,-0.4942528735632184,,2021-01-01,2021-01-02
2021-01-01 13:00:00,3274,3175,1223,0.030238240684178377,0.6264508246792914,0.34331093463653023,0.6264508246792914,0.030238240684178377,11761,,2433,1000.0,3189,,788,2000.0,1s,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.3853904282115869,-0.9534983592947549,0.32415776499589155,-1.1265249527015981,0.27121237884713484,-1.3048530792410111,-0.596212583995113,,2021-01-01,2021-01-02
2021-01-01 14:00:00,3275,3184,1196,0.027786259541984732,0.6348091603053435,0.3374045801526718,0.6348091603053435,0.027786259541984732,11751,,2371,1000.0,3017,,800,2000.0,1s,last_trade_update_activity_v1,inverse,2021-01-01,2021,0.3758241758241758,-0.9786338624482905,0.3376897133220911,-1.0856278130492567,0.2568073519400953,-1.359429078525919,-0.6070229007633587,,2021-01-01,2021-01-02
